;Id;Метро;Расстояние до метро;Время до метро;Улица;Дом;Стены;Комнат;Общая площадь;Жилая площадь;Кухня;Этаж;Этажность;Лифт (пасс.);Лифт (груз.);Балкон;Лоджия;С/у (разд.);С/у (совм.);lng;lat;Цена (руб.);валюта цены;Новостройка
436;2515686;Бауманская;641;10;Доброслободская улица;11-13;нет данных;0;78.0;20.5;9.0;2;3;0;0;0;0;1;0;55.767377;37.674049;3,200,000;2;0
437;2516784;Кунцевская;736;11;Молодогвардейская улица;8к1;монолит;4;170.7;136.6;25.0;12;13;2;1;1;2;1;2;55.735829;37.439085999999996;51,210,000;2;0
438;2523147;Кутузовская;282;4;Кутузовский проспект;41;нет данных;3;60.1;34.0;8.0;3;9;1;0;0;0;1;0;55.738688;37.531029;18,000,000;2;0
439;2523275;;0;0;Востряковский проезд;7К1;панель;2;45.0;30.0;7.0;9;9;1;0;0;0;1;0;55.582187;37.642016;6,500,000;2;0
440;2526837;;0;0;Мосфильмовская улица;11к3;кирпич;2;67.3;35.3;10.0;9;12;1;1;0;1;0;1;55.716483;37.524623999999996;20,900,000;2;0
441;2529823;Кропоткинская;945;14;Еропкинский переулок;11;нет данных;3;90.0;70.0;12.0;4;6;1;0;0;0;0;2;55.74031899999999;37.591997;70,770,040;1;0
442;2532572;Парк Культуры;598;9;Комсомольский проспект;11;кирпич;3;54.0;35.0;6.0;1;9;0;0;0;0;0;1;55.730112;37.590156;14,300,000;2;0
443;2536666;Октябрьская;325;5;улица Большая Якиманка;50;монолит;6;380.0;250.0;20.0;5;8;2;1;0;3;0;3;55.73218000000001;37.611167;546,859,400;1;0
444;2538361;Ленинский проспект;718;11;улица Орджоникидзе;9к1;кирпич;5;131.0;77.0;11.0;3;5;0;0;0;0;1;0;55.709962;37.598483;25,000,000;2;0
445;2539057;;0;0;улица Богданова;2к1;не заполнено;3;134.3;68.0;21.0;2;24;2;1;0;2;2;0;55.656580000000005;37.404788;17,000,000;2;0
446;2539975;Смоленская;514;8;Большой Николопесковский переулок;13С1;кирпич;6;336.0;190.0;37.0;4;4;1;0;0;0;0;4;55.750925;37.589698;257,345,600;1;0
447;2540688;Киевская;854;13;Кутузовский проспект;4/2;нет данных;2;64.0;37.0;12.0;4;11;2;0;0;0;0;1;55.750727000000005;37.562272;29,594,744;1;0
448;2541934;Борисово;652;10;Братеевская улица;25К1;панель;2;54.0;31.0;9.0;12;16;0;0;0;1;1;0;55.633658;37.753928;8,900,000;2;0
449;2545781;;0;0;Ясный проезд;26К3;панель;3;64.0;46.0;8.0;12;16;1;1;0;1;1;0;55.875814;37.621094;9,500,000;2;0
450;2546299;Цветной бульвар;183;3;Цветной бульвар;13с2;не заполнено;3;179.0;90.0;15.0;5;9;0;0;0;0;0;0;55.770375;37.618632;80,000,000;2;0
451;2546440;Университет;3036;46;Мосфильмовская улица;70к1;монолит-кирпич;4;241.2;190.0;20.0;3;38;0;0;2;0;3;0;55.714754000000006;37.504618;279,219,976;1;0
452;2546739;Октябрьское поле;2683;40;проспект Маршала Жукова;43К3;монолит-кирпич;2;56.0;25.0;20.0;15;17;1;1;1;0;0;0;55.773768000000004;37.469009;18,000,000;2;0
453;2551390;Смоленская;793;12;1-й Неопалимовский переулок;8;не заполнено;7;257.0;180.0;20.0;7;9;3;2;0;1;0;2;55.740806000000006;37.580706;165,344,548;1;0
454;2556286;Сокол;43;1;Ленинградский проспект;76;панель;3;200.0;140.0;20.0;25;26;0;0;0;0;2;0;55.805746;37.514643;102,938,240;1;0
455;2556379;Пушкинская;512;8;Большой Палашевский переулок;1С2;кирпич;3;88.0;65.0;0.0;2;5;1;0;0;0;0;1;55.763932999999994;37.596731;77,203,680;1;0
